run_id,scenario,solver,n_proposals,run_iter,seed,start_time,end_time,runtime
fa7e7297-28c6-42d5-a671-9030ad0409a5,NLIN+CONV,Ours,10,1,113,2023-04-01 15:02:52.801752,2023-04-01 15:02:54.914363,2.112611
ddb99bf6-c703-4e4f-a19d-70661115fc96,NLIN+CONV,Ours,10,2,183,2023-04-01 15:02:54.961019,2023-04-01 15:02:57.102322,2.141303
d32def66-2b3d-47a8-9939-a763e62721af,NLIN+CONV,Ours,10,3,172,2023-04-01 15:02:57.149223,2023-04-01 15:02:59.257637,2.108414
f4396e0f-b316-46f1-a8e2-bb994600d70e,NLIN+CONV,Ours,10,4,253,2023-04-01 15:02:59.304262,2023-04-01 15:03:01.401585,2.097323
3fd394f4-9e63-4514-a983-43b6fd4c1a02,NLIN+CONV,Ours,10,5,33,2023-04-01 15:03:01.448256,2023-04-01 15:03:03.585382,2.137126
60b956ee-bf0a-4bb4-9ceb-fcc5e4a611cc,NLIN+CONV,Ours,10,6,254,2023-04-01 15:03:03.631559,2023-04-01 15:03:05.735458,2.103899
770b57d4-6e16-4c43-8c40-32ee4ffead2b,NLIN+CONV,Ours,10,7,20,2023-04-01 15:03:05.782477,2023-04-01 15:03:07.887482,2.105005
4d919c54-fb06-4f57-8432-5f6b01cea0f0,NLIN+CONV,Ours,10,8,119,2023-04-01 15:03:07.934879,2023-04-01 15:03:10.026957,2.092078
4e31f461-7652-4550-87c5-aa1a86123786,NLIN+CONV,Ours,10,9,5,2023-04-01 15:03:10.075322,2023-04-01 15:03:12.213247,2.137925
99dde666-b57f-4c1c-9e78-a0c2036a7872,NLIN+CONV,Ours,10,10,37,2023-04-01 15:03:12.260224,2023-04-01 15:03:14.355663,2.095439
80b6581e-6cd7-4089-9569-a2f7e53cd7f1,LIN+NCONV,WS,1,1,113,2023-04-01 15:03:19.781250,2023-04-01 15:03:21.263490,1.48224
1717a74d-a6cd-4e84-be22-70fbc3ad1f4a,LIN+NCONV,WS,1,2,183,2023-04-01 15:03:21.268065,2023-04-01 15:03:22.764069,1.496004
c268365c-61e1-4872-a43c-bf1b9c44cca6,LIN+NCONV,WS,1,3,172,2023-04-01 15:03:22.768708,2023-04-01 15:03:24.330682,1.561974
85941ed9-87df-46e6-a098-965f4215c4bf,LIN+NCONV,WS,1,4,253,2023-04-01 15:03:24.335688,2023-04-01 15:03:25.923950,1.588262
f7bfaab7-b3c5-4ad9-99f7-d3430b5d48ea,LIN+NCONV,WS,1,5,33,2023-04-01 15:03:25.929162,2023-04-01 15:03:27.464686,1.535524
a5e0e603-28a6-4997-80d0-799a25b58277,LIN+NCONV,WS,1,6,254,2023-04-01 15:03:27.469238,2023-04-01 15:03:28.963927,1.494689
3ccb6cf5-8522-4f02-8248-6d4e7e5c45a5,LIN+NCONV,WS,1,7,20,2023-04-01 15:03:28.968907,2023-04-01 15:03:30.518469,1.549562
b557ec7a-87ef-46c2-9d7f-d087348e652d,LIN+NCONV,WS,1,8,119,2023-04-01 15:03:30.523035,2023-04-01 15:03:32.016198,1.493163
a5f28b1a-98a4-47b7-9886-25a7efd601e9,LIN+NCONV,WS,1,9,5,2023-04-01 15:03:32.021092,2023-04-01 15:03:33.596899,1.575807
56889f07-8f96-40f1-9954-281a2edb5872,LIN+NCONV,WS,1,10,37,2023-04-01 15:03:33.602170,2023-04-01 15:03:35.213583,1.611413
65bb4d88-7e62-4940-88c8-7a1fb4116110,LIN+NCONV,WS,10,1,113,2023-04-01 15:03:35.439425,2023-04-01 15:03:50.511954,15.072529
fb95b9e3-ad45-427c-8a1f-5c9798d6ecd3,LIN+NCONV,WS,10,2,183,2023-04-01 15:03:50.556624,2023-04-01 15:04:05.514395,14.957771
227100f0-27f5-4995-8646-e332440a7280,LIN+NCONV,WS,10,3,172,2023-04-01 15:04:05.559082,2023-04-01 15:04:20.502607,14.943525
2cd42264-02c6-49f5-8e56-3e58aaa0d4a2,LIN+NCONV,WS,10,4,253,2023-04-01 15:04:20.547758,2023-04-01 15:04:35.538929,14.991171
594c567f-e6e3-4389-a4c6-6fb4b3c900c3,LIN+NCONV,WS,10,5,33,2023-04-01 15:04:35.583392,2023-04-01 15:04:50.506920,14.923528
f1e13ba6-df5e-4ece-aa3d-dfa32800620f,LIN+NCONV,WS,10,6,254,2023-04-01 15:04:50.551525,2023-04-01 15:05:05.504342,14.952817
dda8c920-d935-4976-ab43-5d59c736682a,LIN+NCONV,WS,10,7,20,2023-04-01 15:05:05.548974,2023-04-01 15:05:20.424452,14.875478
49c86cda-ab68-4cdb-a28d-27caf59b4962,LIN+NCONV,WS,10,8,119,2023-04-01 15:05:20.468795,2023-04-01 15:05:35.418246,14.949451
bd76c475-b12e-44e7-86e7-173813574d9c,LIN+NCONV,WS,10,9,5,2023-04-01 15:05:35.463174,2023-04-01 15:05:50.410016,14.946842
598b4a24-a61a-4212-a4f2-54e7e728b14d,LIN+NCONV,WS,10,10,37,2023-04-01 15:05:50.454625,2023-04-01 15:06:05.366919,14.912294
6013f501-2d3c-47ac-903f-df0d4806d0e6,LIN+NCONV,Ours,1,1,113,2023-04-01 15:06:05.630681,2023-04-01 15:06:07.705661,2.07498
3d72a24e-6e53-4850-a270-f85c58f51ed1,LIN+NCONV,Ours,1,2,183,2023-04-01 15:06:07.710354,2023-04-01 15:06:09.744896,2.034542
9fdc7f96-1530-41f9-8f64-1e23bdb179ce,LIN+NCONV,Ours,1,3,172,2023-04-01 15:06:09.749639,2023-04-01 15:06:11.776601,2.026962
172c029f-1c03-4d6a-87a8-f5afdd5ccaea,LIN+NCONV,Ours,1,4,253,2023-04-01 15:06:11.781237,2023-04-01 15:06:13.851845,2.070608
